gene_name,Class,Phenotype 1,Phenotype 2,Phenotype 3,Phenotype 4,Phenotype 5,Phenotype 6,Phenotype 7,Phenotype 8,Phenotype 9,Phenotype 10,Phenotype 11,Phenotype 12,Phenotype 13,Phenotype 14,Phenotype 15,Phenotype 16
ant(2'')-Ia_9_HM367610,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
ant(3'')-Ia_1_X02340,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(3'')-Ii-aac(6')-IId_1_AF453998,Aminoglycoside,Gentamicin,Streptomycin,Tobramycin,Spectinomycin,,,,,,,,,,,,
ant(4')-Ib_1_AJ506108,Aminoglycoside,Amikacin,Tobramycin,Isepamicin,,,,,,,,,,,,,
ant(4')-IIa_1_M98270,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
ant(4')-IIb_1_AY114142,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
ant(6)-Ia_1_AF330699,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(6)-Ia_2_KF421157,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(6)-Ia_3_KF864551,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(6)-Ia_5_AB247327,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(6)-Ib_1_FN594949,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
ant(9)-Ia_1_X02588,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
ant(9)-Ia_2_M69221,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aph(2'')-Ia_2_AP009486,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ia_3_AJ536195,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ib_1_AF337947,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ib_2_AF207840,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ib_3_KF652098,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ic_1_U51479,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Id_1_AF016483,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ie_1_AY743255,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-If_1_KF652097,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-If_2_AY701528,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ig_1_CP004067,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(2'')-Ih_1_KF652096,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aph(3')-Ia_1_V00359,Aminoglycoside,Neomycin,Kanamycin,Lividomycin,Paromomycin,,,,,,,,,,,,
aph(3'')-Ia_1_X53527,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3')-Ia_10_EU855787,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3'')-Ia_2_AP009493,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3')-Ia_2_EU287476,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-Ia_3_EF015636,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3'')-Ia_3_M37378,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3')-Ia_4_AF498082,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-Ia_5_AP004237,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-Ia_6_L05392,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-Ia_7_X62115,Aminoglycoside,Neomycin,Kanamycin,Lividomycin,Paromomycin,,,,,,,,,,,,
aph(3')-Ia_8_Y00452,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-Ia_9_EU722351,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-Ib_1_M20305,Aminoglycoside,Neomycin,Kanamycin,Lividomycin,Paromomycin,,,,,,,,,,,,
aph(3'')-Ib_1_M28829,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3'')-Ib_2_AF024602,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3')-Ib_2_AJ744860,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3'')-Ib_3_AF321550,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3'')-Ib_4_AF313472,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3'')-Ib_5_AF321551,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3'')-Ic_1_DQ336355,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(3')-Id_1_Z48231,Aminoglycoside,Neomycin,Kanamycin,Lividomycin,Paromomycin,,,,,,,,,,,,
aph(3')-IIa_1_X57709,Aminoglycoside,Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butiromycin,,,,,,,,,,,
aph(3')-IIa_2_V00618,Aminoglycoside,Kanamycin,,,,,,,,,,,,,,,
aph(3')-IIb_1_X90856,Aminoglycoside,Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butiromycin,,,,,,,,,,,
aph(3')-IIb_2_CP006832,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-IIc_1_AM743169,Aminoglycoside,Butirosin,Kanamycin,Neomycin,,,,,,,,,,,,,
aph(3')-III_1_M26832,Aminoglycoside,Kanamycin,Amikacin,Neomycin,Butirosin,Isepamicin,Lividomycin,Paromomycin,,,,,,,,,
aph(3')-IIIa_1_AF330699,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-IIIa_2_AJ490186,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-IIIa_3_AB247327,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-IV_1_X03364,Aminoglycoside,Butirosin,Kanamycin,Neomycin,Paromomycin,,,,,,,,,,,,
aph(3')-IX_1_APPN01000061,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-Va_1_K00432,Aminoglycoside,Neomycin,Ribostamycin,,,,,,,,,,,,,,
aph(3')-Va_2_AB211959,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-Vb_1_M22126,Aminoglycoside,Neomycin,Ribostamycin,,,,,,,,,,,,,,
aph(3')-Vb_2_AJ744850,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-Vc_1_S81599,Aminoglycoside,Neomycin,Ribostamycin,,,,,,,,,,,,,,
aph(3')-VI_1_KC170992,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-VI_2_APPJ01000012,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-VIa_1_X07753,Aminoglycoside,Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butirosin,Gentamicin,,,,,,,,,,
aph(3')-VIb_1_AJ627643,Aminoglycoside,Kanamycin,Neomycin,Paromomycin,Ribostamycin,Butirosin,Gentamicin,,,,,,,,,,
aph(3')-VIIa_1_M29953,Aminoglycoside,Kanamycin,Neomycin,,,,,,,,,,,,,,
aph(3')-VIII_1_ATGI01000028,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aph(3')-XV_1_Y18050,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-XV_2_GQ626879,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(3')-XV_3_EU165039,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aph(4)-Ia_1_V01499,Aminoglycoside,Hygromycin,,,,,,,,,,,,,,,
aph(6)-Ia_1_AY971801,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Ia_2_Y00459,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Ib_1_X05648,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Ic_1_X01702,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Id_1_M28829,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Id_2_AF024602,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Id_3_AB109805,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Id_4_CP000971,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(6)-Id_5_18676889,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aph(7'')-Ia_1_X03615,Aminoglycoside,Hygromycin,,,,,,,,,,,,,,,
aph(9)-Ia_1_U94857,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aph(9)-Ia_2_CR628337,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aph(9)-Ib_1_U70376,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
armA_1_AY220558,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Isepamicin,,,,,,,,,,,,
fmrO_1_Q08325,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
grmA_1_M55520,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
grmB_1_M55521,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
grmO_1_AY524043,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
kamB_1_AJ629123,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
kgmB_1_S60108,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
kmr_1_ENA_ACB88605,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
npmA_1_AB261016,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Dibekacin,Kanamycin,Isepamicin,Netilmicin,Sisomicin,Neomycin,,,,,,,
rmtA_1_AB120321,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Isepamicin,Arbekacin,,,,,,,,,,,
rmtB_1_AB103506,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Kanamycin,Arbekacin,Sisomicin,,,,,,,,,,
rmtB2_1_JN968578,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
rmtC_1_AB194779,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Kanamycin,Arbekacin,Sisomicin,,,,,,,,,,
rmtD_1_DQ914960,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
rmtD2_1_HQ401565,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Kanamycin,,,,,,,,,,,,
rmtE_1_GU201947,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Kanamycin,,,,,,,,,,,,
rmtF_1_JQ808129,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
rmtG_1_JX486113,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
rmtH_1_KC544262,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
sgm_1_M87057,Aminoglycoside,Amikacin,Gentamicin,,,,,,,,,,,,,,
str_1_X92946,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
str_2_FN435330,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
str_3_AM932524,Aminoglycoside,Streptomycin,,,,,,,,,,,,,,,
aac(2')-Ia_1_L06156,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(2')-Ib_1_U41471,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(2')-Ic_1_U72714,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(2')-Id_1_U72743,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(2')-Ie_1_NC011896,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(2')-IIa_1_AB669090,Aminoglycoside,Kasugamycin,,,,,,,,,,,,,,,
aac(3)-I_1_AJ877225,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ia_1_X15852,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ib_1_L06157,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ib-aac(6')-Ib_1_AF355189,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aac(3)-Ic_1_AJ511268,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Id_1_AB114632,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-If_1_AY884051,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ig_1_CP000282,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ih_1_CP000490,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-Ii_1_CP000356,Aminoglycoside,Gentamicin,Astromicin,,,,,,,,,,,,,,
aac(3)-IIa_1_X51534,Aminoglycoside,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,,,,,,,,,,,
aac(3)-IIa_2_AY138987,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIa_3_X13543,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIa_4_L22613,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIa_5_FJ012882,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIa_6_CP023555,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIb_1_M97172,Aminoglycoside,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,,,,,,,,,,,
aac(3)-IIc_1_X54723,Aminoglycoside,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,,,,,,,,,,,
aac(3)-IId_1_EU022314,Aminoglycoside,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,,,,,,,,,,,
aac(3)-IIe_1_EU022315,Aminoglycoside,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,,,,,,,,,,,
aac(3)-IIIa_1_X55652,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(3)-IIIb_1_L06160,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(3)-IIIb_2_LLLC01000048,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IIIc_1_L06161,Aminoglycoside,Gentamicin,Tobramycin,Dibekacin,,,,,,,,,,,,,
aac(3)-IV_1_DQ241380,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-IVa_1_X01385,Aminoglycoside,Apramycin,Gentamicin,Dibekacin,Netilmicin,Sisomicin,,,,,,,,,,,
aac(3)-IXa_1_M55427,Aminoglycoside,Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,,,,,,,,,,
aac(3)-VIa_1_M88012,Aminoglycoside,Gentamicin,Sisomicin,Netilmicin,,,,,,,,,,,,,
aac(3)-VIa_2_NC_009838,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(3)-VIIa_1_M22999,Aminoglycoside,Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,,,,,,,,,,
aac(3)-VIII_1_AB211959,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aac(3)-VIII_2_AJ843080,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aac(3)-VIII_3_AJ748131,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aac(3)-VIIIa_1_M55426,Aminoglycoside,Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,,,,,,,,,,
aac(3)-Xa_1_AB028210,Aminoglycoside,Gentamicin,Dibekacin,Kanamycin,Neomycin,Paromomycin,Amikacin,,,,,,,,,,
aac(3)-XI_1_CTEG01000046,Aminoglycoside,UnknownAminoglycoside,,,,,,,,,,,,,,,
aac(6')-29a_1_AF263519,Aminoglycoside,Amikacin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,,,,,,,,,,
aac(6')-29b_1_AF263519,Aminoglycoside,Amikacin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,,,,,,,,,,
aac(6')-30-aac(6')-Ib'_1_AJ584652,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,,,,,,,,,
aac(6')-31_1_AM283489,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,,,,,,,,,
aac(6')-32_1_EF614235,Aminoglycoside,Tobramycin,,,,,,,,,,,,,,,
aac(6')-33_1_GQ337064,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-aph(2'')_1_M13771,Aminoglycoside,Gentamicin,Tobramycin,Netilmicin,Kanamycin,Amikacin,Dibekacin,Isepamicin,Fortimicin,,,,,,,,
aac(6')-I30_1_AY289608,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ia_1_M18967,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ia_2_M86913,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iad_1_AB119105,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iae_1_AB104852,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iaf_1_AB462903,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iag_1_AB472901,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iai_1_EU886977,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iaj_1_AB709942,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Iak_1_AB894482,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ian_1_AP014611,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ib_1_M21682,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ib_2_M23634,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
aac(6')-Ib11_1_AY136758,Aminoglycoside,Amikacin,Gentamicin,Tobramycin,,,,,,,,,,,,,
aac(6')-Ib3_1_X60321,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ib-cr_1_DQ303918,Aminoglycoside, Quinolone,Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,,,,,,,,,
aac(6')-Ib-cr_2_EF636461,Aminoglycoside, Quinolone,Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,,,,,,,,,
aac(6')-Ib-Hangzhou_1_FJ503047,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ic_1_M94066,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-If_1_X55353,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ig_1_L09246,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ih_1_L29044,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aac(6')-Ih_2_KT778788,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
aac(6')-Ii_1_L12710,Aminoglycoside,Tobramycin,Dibekacin,Gentamicin,Sisomicin,,,,,,,,,,,,
aac(6')-IIa_1_M29695,Aminoglycoside,Tobramycin,Dibekacin,Gentamicin,Sisomicin,,,,,,,,,,,,
aac(6')-IIb_1_L06163,Aminoglycoside,Tobramycin,Dibekacin,Gentamicin,Sisomicin,,,,,,,,,,,,
aac(6')-IIc_1_NC_012555,Aminoglycoside,Gentamicin,,,,,,,,,,,,,,,
aac(6')-Iid_1_AJ584700,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iih_1_AJ584701,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ij_1_L29045,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ik_1_L29510,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Il_1_U13880,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Im_1_AF337947,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
aac(6')-Im_2_Z54241,Aminoglycoside,Amikacin,Tobramycin,,,,,,,,,,,,,,
aac(6')-Iq_1_AF047556,Aminoglycoside,Amikacin,Tobramycin,Netilmicin,,,,,,,,,,,,,
aac(6')-Ir_1_AF031326,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Is_1_AF031327,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Isa_1_AB116646,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-It_1_AF031328,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iu_1_AF031329,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iv_1_AF031330,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iw_1_AF031331,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Ix_1_AF031332,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iz_1_AF140221,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iz_2_AB971834,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aac(6')-Iaa_1_NC_003197,Aminoglycoside,Amikacin,,,,,,,,,,,,,,,
aacA43_1_HQ247816,Aminoglycoside,Tobramycin,Dibekacin,Amikacin,Sisomicin,,,,,,,,,,,,
aadA1_2_FJ591054,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA1_3_JQ414041,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA1_4_JQ480156,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA1_5_JX185132,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA10_1_U37105,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA10_2_AM087405,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA11_1_AY144590,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA11_2_AJ567827,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA12_1_AY665771,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA13_1_AY713504,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA13_2_NC010643,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA14_1_AJ884726,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA15_1_DQ393783,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA16_1_EU675686,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA17_1_FJ460181,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA1b_1_M95287,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA2_1_NC_010870,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA2_2_JQ364967,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA21_1_AY171244,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA22_1_AM261837,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA23_1_AJ809407,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA24_1_AM711129,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA24_1_DQ677333,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA2b_1_D43625,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA3_1_AF047479,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA4_1_Z50802,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA5_1_AF137361,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA6_1_AF140629,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA7_1_AF224733,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
aadA7_2_AB114632,Aminoglycoside,Spectinomycin,,,,,,,,,,,,,,,
